[2025-10-22 20:20:01] Regel: sommer | Zeit: 20:20 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 20:21:01] Regel: sommer | Zeit: 20:21 | Tor: ZU
[2025-10-22 20:22:02] Regel: sommer | Zeit: 20:22 | Tor: ZU
[2025-10-22 20:23:01] Regel: sommer | Zeit: 20:23 | Tor: ZU
[2025-10-22 20:24:01] Regel: sommer | Zeit: 20:24 | Tor: ZU
[2025-10-22 20:25:01] Regel: sommer | Zeit: 20:25 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 20:26:01] Regel: sommer | Zeit: 20:26 | Tor: ZU
[2025-10-22 20:27:01] Regel: sommer | Zeit: 20:27 | Tor: ZU
[2025-10-22 20:28:01] Regel: sommer | Zeit: 20:28 | Tor: ZU
[2025-10-22 20:29:02] Regel: sommer | Zeit: 20:29 | Tor: ZU
[2025-10-22 20:30:01] Regel: sommer | Zeit: 20:30 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 20:31:01] Regel: sommer | Zeit: 20:31 | Tor: ZU
[2025-10-22 20:32:01] Regel: sommer | Zeit: 20:32 | Tor: ZU
[2025-10-22 20:33:01] Regel: sommer | Zeit: 20:33 | Tor: ZU
[2025-10-22 20:34:01] Regel: sommer | Zeit: 20:34 | Tor: ZU
[2025-10-22 20:35:01] Regel: sommer | Zeit: 20:35 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 20:36:01] Regel: sommer | Zeit: 20:36 | Tor: ZU
[2025-10-22 20:37:01] Regel: sommer | Zeit: 20:37 | Tor: ZU
[2025-10-22 20:38:01] Regel: sommer | Zeit: 20:38 | Tor: ZU
[2025-10-22 20:39:01] Regel: sommer | Zeit: 20:39 | Tor: ZU
[2025-10-22 20:40:01] Regel: sommer | Zeit: 20:40 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 20:41:02] Regel: sommer | Zeit: 20:41 | Tor: ZU
[2025-10-22 20:42:01] Regel: sommer | Zeit: 20:42 | Tor: ZU
[2025-10-22 20:43:01] Regel: sommer | Zeit: 20:43 | Tor: ZU
[2025-10-22 20:44:01] Regel: sommer | Zeit: 20:44 | Tor: ZU
[2025-10-22 20:45:02] Regel: sommer | Zeit: 20:45 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 20:46:01] Regel: sommer | Zeit: 20:46 | Tor: ZU
[2025-10-22 20:47:01] Regel: sommer | Zeit: 20:47 | Tor: ZU
[2025-10-22 20:48:01] Regel: sommer | Zeit: 20:48 | Tor: ZU
[2025-10-22 20:49:01] Regel: sommer | Zeit: 20:49 | Tor: ZU
[2025-10-22 20:50:01] Regel: sommer | Zeit: 20:50 | Tor: ZU → Schließimpuls gesendet
