[2025-10-22 19:57:01] Regel: sommer | Zeit: 19:57 | Tor: ZU
[2025-10-22 19:58:01] Regel: sommer | Zeit: 19:58 | Tor: ZU
[2025-10-22 19:59:01] Regel: sommer | Zeit: 19:59 | Tor: ZU
[2025-10-22 20:00:01] Regel: sommer | Zeit: 20:00 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 20:01:01] Regel: sommer | Zeit: 20:01 | Tor: ZU
[2025-10-22 20:02:01] Regel: sommer | Zeit: 20:02 | Tor: ZU
[2025-10-22 20:03:02] Regel: sommer | Zeit: 20:03 | Tor: ZU
[2025-10-22 20:04:01] Regel: sommer | Zeit: 20:04 | Tor: ZU
[2025-10-22 20:05:01] Regel: sommer | Zeit: 20:05 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 20:06:01] Regel: sommer | Zeit: 20:06 | Tor: ZU
[2025-10-22 20:07:01] Regel: sommer | Zeit: 20:07 | Tor: ZU
[2025-10-22 20:08:01] Regel: sommer | Zeit: 20:08 | Tor: ZU
[2025-10-22 20:09:01] Regel: sommer | Zeit: 20:09 | Tor: ZU
[2025-10-22 20:10:01] Regel: sommer | Zeit: 20:10 | Tor: ZU → Schließimpuls gesendet
